HS001,7305793500000001741931872764248112929314435437854
HS002,6516407566666668663305552699723812384902298032083
HS003,702201470317460472487717185356317988888058581313
HS004,7076075276190475726173525579727716315506768026005
HS005,7771826044444444795926175242490217171393590821157
HS006,90555718682539699204638132288721649842806230612
HS007,949010544761904795757898706885741278143278608917
HS008,9089797468253964919676294649085113985816672868326
HS009,9478525996825397955007203352762311667993713880556
HS010,912020372063492924038451323294414854595405167304
HS011,913222294603174692714385195625921600648707868239
HS012,9592279757142853967236562381730912421053987122773
HS013,90686506888888992151444105909521636600498277071
HS014,78455590492063580600981542773218472643183911266
HS015,9402791084126979950788114485225914097246869155846
HS016,914772915238095927953293508072215584552762038076
HS017,8757081596825397892924091344614517449542105460875
HS018,928973880793650993964729046560051412252076738731
HS019,9272259042857144938802108970838714697456320613304
HS020,9255655993650795936513569142312614277950293944258
HS021,9165453587301589931377118523632416555344242748024
HS022,911667464126984692879640656700931775533714240971
HS023,922036092222222593433127583594415107738958823907
HS024,939615742063492195806672660186681871205758009772
HS025,924794730634920794161741944906861771950078298143
